arch,scale,seed,objective,n_params,total_residues,total_flops,train_time_sec,val_bpr,best_val_bpr,step,num_iterations,done
esm2,L,0,mlm,649141760,7789701120,3.2349479614650778e+19,32255.114271640778,3.3087933540943757,3.2231925758015865,14857,14857,True
esm2,L,1,mlm,649141760,7789701120,3.2349479614650778e+19,32460.698380470276,3.305715411024751,3.222675114267309,14857,14857,True
esm2,L,2,mlm,649141760,7789701120,3.2349479614650778e+19,32543.810148000717,3.3052493346146963,3.220708097833584,14857,14857,True
esm2,M,0,mlm,147616000,1771392000,1.77661151281152e+18,3233.9596059322357,3.4916197317155784,3.4256905603317067,3378,3378,True
esm2,M,1,mlm,147616000,1771392000,1.77661151281152e+18,3261.157435655594,3.49611915472615,3.4274269724172273,3378,3378,True
esm2,M,2,mlm,147616000,1771392000,1.77661151281152e+18,3171.0140006542206,3.492398753198782,3.423018440222215,3378,3378,True
esm2,S,0,mlm,33263040,399156480,9.36578210070528e+16,308.0326278209686,3.633240115284223,3.6231043440904664,761,761,True
esm2,S,1,mlm,33263040,399156480,9.36578210070528e+16,307.84962368011475,3.6309705349457504,3.6236515111937533,761,761,True
esm2,S,2,mlm,33263040,399156480,9.36578210070528e+16,303.52461528778076,3.636714089589242,3.6310814691300144,761,761,True
esm2,XS,0,mlm,7422080,89064960,5001546144153600.0,48.84564399719238,3.7479678407290646,3.7479678407290646,169,169,True
esm2,XS,1,mlm,7422080,89064960,5001546144153600.0,57.468300342559814,3.7478687029423123,3.7478687029423123,169,169,True
esm2,XS,2,mlm,7422080,89064960,5001546144153600.0,53.04136037826538,3.74704649043485,3.74704649043485,169,169,True
gpt2,L,0,ar,599354680,7192256160,2.7307491213998637e+19,31663.352709770203,3.5356497635947743,3.5050460383691604,13718,13718,True
gpt2,L,1,ar,599354680,7192256160,2.7307491213998637e+19,31412.641823768616,3.536212615583,3.505641555841869,13718,13718,True
gpt2,L,2,ar,599354680,7192256160,2.7307491213998637e+19,31329.177115678787,3.5362564031048977,3.5056440843227406,13718,13718,True
gpt2,M,0,ar,135390414,1624684968,1.4405431477319204e+18,2488.0779292583466,3.683492875367636,3.683492875367636,3098,3098,True
gpt2,M,1,ar,135390414,1624684968,1.4405431477319204e+18,2484.543066740036,3.6851880962646604,3.6851880962646604,3098,3098,True
gpt2,M,2,ar,135390414,1624684968,1.4405431477319204e+18,2482.484793663025,3.682743803856911,3.682743803856911,3098,3098,True
gpt2,S,0,ar,36090440,433085280,1.0700054731269504e+17,333.9236104488373,3.8808398873996435,3.8653568746209244,826,826,True
gpt2,S,1,ar,36090440,433085280,1.0700054731269504e+17,331.17400217056274,3.880507258441839,3.8653272833935053,826,826,True
gpt2,S,2,ar,36090440,433085280,1.0700054731269504e+17,330.8214907646179,3.8806666949583217,3.8654959500038815,826,826,True
gpt2,XS,0,ar,10739966,128879592,1.005331959134784e+16,77.58585166931152,3.994158915849967,3.994158915849967,245,245,True
gpt2,XS,1,ar,10739966,128879592,1.005331959134784e+16,73.37597060203552,3.9899002411408686,3.9899002411408686,245,245,True
gpt2,XS,2,ar,10739966,128879592,1.005331959134784e+16,77.22087526321411,3.9842013896253485,3.9842013896253485,245,245,True
mamba,L,0,ar,630572288,7566867456,6.857489782721898e+19,63320.59907245636,3.6445763940397002,3.5153958479509995,14432,14432,True
mamba,L,1,ar,630572288,7566867456,6.857489782721898e+19,63246.476103544235,3.6462767773722025,3.515809083632107,14432,14432,True
mamba,L,2,ar,630572288,7566867456,6.857489782721898e+19,63394.23794865608,3.643943121336573,3.513698199814453,14432,14432,True
mamba,M,0,ar,151749504,1820994048,5.361233970456429e+18,5461.598974227905,3.7840574172930093,3.708946881149983,3473,3473,True
mamba,M,1,ar,151749504,1820994048,5.361233970456429e+18,5453.100446939468,3.7865014278104447,3.707371494270682,3473,3473,True
mamba,M,2,ar,151749504,1820994048,5.361233970456429e+18,5441.833215713501,3.7853203189512103,3.7083626106708336,3473,3473,True
mamba,S,0,ar,35024000,420288000,4.07473156620288e+17,565.6746242046356,3.900558913485982,3.900558913485982,801,801,True
mamba,S,1,ar,35024000,420288000,4.07473156620288e+17,565.7514941692352,3.9012083043897126,3.9012083043897126,801,801,True
mamba,S,2,ar,35024000,420288000,4.07473156620288e+17,565.8831777572632,3.8991944283939888,3.8991944283939888,801,801,True
mamba,XS,0,ar,9186688,110240256,3.996961030353715e+16,101.80022096633911,4.019641716902527,4.019641716902527,210,210,True
mamba,XS,1,ar,9186688,110240256,3.996961030353715e+16,100.28695297241211,4.018381156626883,4.018381156626883,210,210,True
mamba,XS,2,ar,9186688,110240256,3.996961030353715e+16,98.99387407302856,4.019346185677405,4.019346185677405,210,210,True
