property,source,level,Pi,period,Omega,F1_ord,F1_bag,n
frame,gencode,residue,7.99999,3.0,0.27262,0.48157,0.20895,6020
gc,gencode,residue,2.27823,7.0,0.02436,0.47985,0.45549,6000
